seed_key,name,breed,size,age_months,weight_kg,gender,vaccination_status,image_url,description,branch_code
dog_milo,Milo,Poodle,SMALL,24,5,MALE,FULLY_VACCINATED,https://placehold.co/800x600/png?text=PawConnect+Milo,Chó nhỏ hiền và quen sinh hoạt trong nhà.,BR_HCM_01
dog_bong,Bông,Corgi,MEDIUM,18,12,FEMALE,PARTIALLY_VACCINATED,https://placehold.co/800x600/png?text=PawConnect+Bong,Chó cỡ vừa năng động phù hợp gia đình có sân nhỏ.,BR_HN_01
dog_lucky,Lucky,Golden Retriever,LARGE,30,29,MALE,FULLY_VACCINATED,https://placehold.co/800x600/png?text=PawConnect+Lucky,Chó lớn thân thiện và dễ làm quen với người mới.,BR_DN_01
dog_mun,Mun,Chó Phú Quốc,MEDIUM,20,16,FEMALE,NOT_VACCINATED,https://placehold.co/800x600/png?text=PawConnect+Mun,Chó nhanh nhẹn cần người nhận nuôi có thời gian chăm sóc.,BR_HCM_01
dog_kiki,Kiki,French Bulldog,SMALL,16,10,FEMALE,PARTIALLY_VACCINATED,https://placehold.co/800x600/png?text=PawConnect+Kiki,Chó nhỏ thân thiện phù hợp không gian sống vừa phải.,BR_HN_01
dog_gen_poodle,Mochi,Poodle,SMALL,74,4,MALE,FULLY_VACCINATED,https://placehold.co/800x600/png?text=PawConnect+Mochi+1,Ho so demo cho Poodle phuc vu luong nhan nuoi PawConnect.,BR_HCM_01
dog_gen_chihuahua,Bingo,Chihuahua,SMALL,102,1,FEMALE,NOT_VACCINATED,https://placehold.co/800x600/png?text=PawConnect+Bingo+2,Ho so demo cho Chihuahua phuc vu luong nhan nuoi PawConnect.,BR_HN_01
dog_gen_pug,Nori,Pug,SMALL,60,9,MALE,PARTIALLY_VACCINATED,https://placehold.co/800x600/png?text=PawConnect+Nori+3,Ho so demo cho Pug phuc vu luong nhan nuoi PawConnect.,BR_DN_01
dog_gen_corgi,Bim,Corgi,MEDIUM,101,12,FEMALE,FULLY_VACCINATED,https://placehold.co/800x600/png?text=PawConnect+Bim+4,Ho so demo cho Corgi phuc vu luong nhan nuoi PawConnect.,BR_HCM_01
dog_gen_shiba_inu,Susu,Shiba Inu,MEDIUM,15,9,MALE,NOT_VACCINATED,https://placehold.co/800x600/png?text=PawConnect+Susu+5,Ho so demo cho Shiba Inu phuc vu luong nhan nuoi PawConnect.,BR_HN_01
dog_gen_beagle,Ken,Beagle,MEDIUM,135,9,FEMALE,PARTIALLY_VACCINATED,https://placehold.co/800x600/png?text=PawConnect+Ken+6,Ho so demo cho Beagle phuc vu luong nhan nuoi PawConnect.,BR_DN_01
