seed_key,dog_profile_seed_key,created_by_user_key,title,description,health_note,status,created_at
post_milo_available,dog_milo,user_manager_hcm,Milo tìm gia đình mới,Hồ sơ demo cho chó nhỏ tại chi nhánh TP.HCM.,Đã tiêm đủ theo hồ sơ demo.,AVAILABLE,2026-09-06T10:00:00+07:00
post_bong_available,dog_bong,user_manager_hn,Bông sẵn sàng nhận nuôi,Hồ sơ demo cho chó cỡ vừa tại chi nhánh Hà Nội.,Cần hoàn tất mũi tiêm tiếp theo.,AVAILABLE,2026-09-06T10:10:00+07:00
post_lucky_closed,dog_lucky,user_manager_dn,Lucky đã có người nhận nuôi,Hồ sơ demo đã đóng tại chi nhánh Đà Nẵng.,Sức khỏe ổn định trong hồ sơ demo.,CLOSED,2026-09-06T10:20:00+07:00
post_gen_01_poodle,dog_gen_poodle,user_manager_hcm,Mochi san sang trong du lieu demo,Tin nhan nuoi demo cho Poodle tai PawConnect.,Da hoan tat lich tiem phong theo ho so demo.,AVAILABLE,2026-09-06T11:00:00+07:00
post_gen_02_chihuahua,dog_gen_chihuahua,user_manager_hn,Bingo san sang trong du lieu demo,Tin nhan nuoi demo cho Chihuahua tai PawConnect.,Ho so tiem phong chua duoc cap nhat trong du lieu demo.,AVAILABLE,2026-09-06T11:05:00+07:00
post_gen_03_pug,dog_gen_pug,user_manager_dn,Nori san sang trong du lieu demo,Tin nhan nuoi demo cho Pug tai PawConnect.,Da co mot phan lich tiem phong trong du lieu demo.,AVAILABLE,2026-09-06T11:10:00+07:00
post_gen_04_corgi,dog_gen_corgi,user_manager_hcm,Bim san sang trong du lieu demo,Tin nhan nuoi demo cho Corgi tai PawConnect.,Da hoan tat lich tiem phong theo ho so demo.,AVAILABLE,2026-09-06T11:15:00+07:00
post_gen_05_shiba_inu,dog_gen_shiba_inu,user_manager_hn,Susu san sang trong du lieu demo,Tin nhan nuoi demo cho Shiba Inu tai PawConnect.,Ho so tiem phong chua duoc cap nhat trong du lieu demo.,AVAILABLE,2026-09-06T11:20:00+07:00
post_gen_06_beagle,dog_gen_beagle,user_manager_dn,Ken san sang trong du lieu demo,Tin nhan nuoi demo cho Beagle tai PawConnect.,Da co mot phan lich tiem phong trong du lieu demo.,CLOSED,2026-09-06T11:25:00+07:00
post_gen_07_phu_quoc,dog_gen_phu_quoc,user_manager_hcm,Mika san sang trong du lieu demo,Tin nhan nuoi demo cho Chó Phú Quốc tai PawConnect.,Da hoan tat lich tiem phong theo ho so demo.,CLOSED,2026-09-06T11:30:00+07:00
post_gen_08_french_bulldog,dog_gen_french_bulldog,user_manager_hn,Bo san sang trong du lieu demo,Tin nhan nuoi demo cho French Bulldog tai PawConnect.,Ho so tiem phong chua duoc cap nhat trong du lieu demo.,CLOSED,2026-09-06T11:35:00+07:00
post_seed_v1_01,dog_mun,user_manager_hcm,Adoption profile 1,Synthetic adoption post for dev/test/demo.,Demo health note.,AVAILABLE,2026-09-11T09:00:00+07:00
post_seed_v1_02,dog_kiki,user_manager_hn,Adoption profile 2,Synthetic adoption post for dev/test/demo.,Demo health note.,AVAILABLE,2026-09-12T09:00:00+07:00
post_seed_v1_03,dog_gen_husky_siberian,user_manager_dn,Adoption profile 3,Synthetic adoption post for dev/test/demo.,Demo health note.,AVAILABLE,2026-09-13T09:00:00+07:00
post_seed_v1_04,dog_gen_alaskan_malamute,user_manager_hcm,Adoption profile 4,Synthetic adoption post for dev/test/demo.,Demo health note.,CLOSED,2026-09-14T09:00:00+07:00
post_seed_v1_05,dog_gen_golden_retriever,user_manager_hn,Adoption profile 5,Synthetic adoption post for dev/test/demo.,Demo health note.,AVAILABLE,2026-09-15T09:00:00+07:00
post_seed_v1_06,dog_gen_labrador_retriever,user_manager_dn,Adoption profile 6,Synthetic adoption post for dev/test/demo.,Demo health note.,AVAILABLE,2026-09-16T09:00:00+07:00
post_seed_v1_07,dog_seed_v1_chihuahua_1,user_manager_dn,Adoption profile 7,Synthetic adoption post for dev/test/demo.,Demo health note.,AVAILABLE,2026-09-17T09:00:00+07:00
post_seed_v1_08,dog_seed_v1_pug_1,user_manager_dn,Adoption profile 8,Synthetic adoption post for dev/test/demo.,Demo health note.,CLOSED,2026-09-18T09:00:00+07:00
post_seed_v1_09,dog_seed_v1_shiba_inu_1,user_manager_hcm,Adoption profile 9,Synthetic adoption post for dev/test/demo.,Demo health note.,AVAILABLE,2026-09-19T09:00:00+07:00
post_seed_v1_10,dog_seed_v1_beagle_1,user_manager_hn,Adoption profile 10,Synthetic adoption post for dev/test/demo.,Demo health note.,AVAILABLE,2026-09-20T09:00:00+07:00
post_seed_v1_11,dog_seed_v1_husky_siberian_1,user_manager_dn,Adoption profile 11,Synthetic adoption post for dev/test/demo.,Demo health note.,AVAILABLE,2026-09-21T09:00:00+07:00
post_seed_v1_12,dog_seed_v1_alaskan_malamute_1,user_manager_hcm,Adoption profile 12,Synthetic adoption post for dev/test/demo.,Demo health note.,CLOSED,2026-09-22T09:00:00+07:00
post_seed_v1_13,dog_seed_v1_labrador_retriever_1,user_manager_hn,Adoption profile 13,Synthetic adoption post for dev/test/demo.,Demo health note.,AVAILABLE,2026-09-23T09:00:00+07:00
