seed_key,adoption_post_seed_key,applicant_user_key,message,status
application_milo_pending,post_milo_available,user_customer_mai,Tôi muốn tìm hiểu thêm về lịch chăm sóc của Milo.,PENDING
application_bong_rejected,post_bong_available,user_customer_nam,Tôi quan tâm đến Bông và có thể chăm sóc thường xuyên.,REJECTED
application_lucky_approved,post_lucky_closed,user_customer_mai,Tôi đã sẵn sàng nhận nuôi Lucky trong dữ liệu demo.,APPROVED
application_lucky_rejected,post_lucky_closed,user_customer_nam,Tôi muốn đăng ký nhận nuôi Lucky nếu còn phù hợp.,REJECTED
application_gen_01_01,post_gen_01_poodle,user_customer_mai,Don demo khong chua thong tin lien he ca nhan.,PENDING
application_gen_01_02,post_gen_01_poodle,user_customer_nam,Don demo khong chua thong tin lien he ca nhan.,REJECTED
application_gen_03_01,post_gen_03_chihuahua,user_customer_mai,Don demo khong chua thong tin lien he ca nhan.,REJECTED
application_gen_04_01,post_gen_04_chihuahua_2,user_customer_mai,Don demo khong chua thong tin lien he ca nhan.,PENDING
application_gen_05_01,post_gen_05_pug,user_customer_nam,Don demo khong chua thong tin lien he ca nhan.,REJECTED
application_gen_06_01,post_gen_06_pug_2,user_customer_mai,Don demo khong chua thong tin lien he ca nhan.,APPROVED
application_gen_06_02,post_gen_06_pug_2,user_customer_nam,Don demo khong chua thong tin lien he ca nhan.,REJECTED
application_gen_07_01,post_gen_07_corgi,user_customer_nam,Don demo khong chua thong tin lien he ca nhan.,APPROVED
application_gen_07_02,post_gen_07_corgi,user_customer_mai,Don demo khong chua thong tin lien he ca nhan.,REJECTED
application_seed_v2_01_a,post_seed_v2_01,user_customer_nam,Synthetic demo application.,PENDING
application_seed_v2_02_a,post_seed_v2_02,user_customer_mai,Synthetic demo application.,PENDING
application_seed_v2_03_a,post_seed_v2_03,user_customer_nam,Synthetic demo application.,PENDING
application_seed_v2_04_a,post_seed_v2_04,user_customer_mai,Synthetic demo application.,APPROVED
application_seed_v2_04_b,post_seed_v2_04,user_customer_nam,Synthetic demo application.,REJECTED
application_seed_v2_05_a,post_seed_v2_05,user_customer_nam,Synthetic demo application.,PENDING
application_seed_v2_06_a,post_seed_v2_06,user_customer_mai,Synthetic demo application.,PENDING
application_seed_v2_07_a,post_seed_v2_07,user_customer_nam,Synthetic demo application.,PENDING
application_seed_v2_08_a,post_seed_v2_08,user_customer_mai,Synthetic demo application.,APPROVED
application_seed_v2_08_b,post_seed_v2_08,user_customer_nam,Synthetic demo application.,REJECTED
application_seed_v2_09_a,post_seed_v2_09,user_customer_nam,Synthetic demo application.,PENDING
application_seed_v2_10_a,post_seed_v2_10,user_customer_mai,Synthetic demo application.,PENDING
application_seed_v2_11_a,post_seed_v2_11,user_customer_nam,Synthetic demo application.,PENDING
application_seed_v2_12_a,post_seed_v2_12,user_customer_mai,Synthetic demo application.,APPROVED
application_seed_v2_12_b,post_seed_v2_12,user_customer_nam,Synthetic demo application.,REJECTED
application_seed_v2_13_a,post_seed_v2_13,user_customer_nam,Synthetic demo application.,PENDING
application_seed_v2_14_a,post_seed_v2_14,user_customer_mai,Synthetic demo application.,PENDING
application_seed_v2_15_a,post_seed_v2_15,user_customer_nam,Synthetic demo application.,PENDING
application_seed_v2_16_a,post_seed_v2_16,user_customer_mai,Synthetic demo application.,APPROVED
application_seed_v2_16_b,post_seed_v2_16,user_customer_nam,Synthetic demo application.,REJECTED
application_seed_v2_17_a,post_seed_v2_17,user_customer_nam,Synthetic demo application.,PENDING
application_seed_v2_18_a,post_seed_v2_18,user_customer_mai,Synthetic demo application.,PENDING
application_seed_v2_19_a,post_seed_v2_19,user_customer_nam,Synthetic demo application.,PENDING
