seed_key,name,breed,size,age_months,weight_kg,gender,vaccination_status,image_url,description,branch_code
dog_milo,Milo,Poodle,SMALL,24,5,MALE,FULLY_VACCINATED,https://placehold.co/800x600/png?text=PawConnect+Milo,Chó nhỏ hiền và quen sinh hoạt trong nhà.,BR_HCM_01
dog_gen_poodle,Mochi,Poodle,SMALL,74,7.2,MALE,FULLY_VACCINATED,https://placehold.co/800x600/png?text=PawConnect+Mochi+1,Ho so demo cho Poodle phuc vu luong nhan nuoi PawConnect.,BR_HCM_01
dog_gen_chihuahua,Nori,Chihuahua,SMALL,131,1.7,MALE,PARTIALLY_VACCINATED,https://placehold.co/800x600/png?text=PawConnect+Nori+3,Ho so demo cho Chihuahua phuc vu luong nhan nuoi PawConnect.,BR_DN_01
dog_gen_chihuahua_2,Bim,Chihuahua,SMALL,15,1.4,FEMALE,FULLY_VACCINATED,https://placehold.co/800x600/png?text=PawConnect+Bim+4,Ho so demo cho Chihuahua phuc vu luong nhan nuoi PawConnect.,BR_HCM_01
dog_gen_pug,Susu,Pug,SMALL,40,9.9,MALE,NOT_VACCINATED,https://placehold.co/800x600/png?text=PawConnect+Susu+5,Ho so demo cho Pug phuc vu luong nhan nuoi PawConnect.,BR_HN_01
dog_gen_pug_2,Ken,Pug,SMALL,66,7.6,FEMALE,PARTIALLY_VACCINATED,https://placehold.co/800x600/png?text=PawConnect+Ken+6,Ho so demo cho Pug phuc vu luong nhan nuoi PawConnect.,BR_DN_01
dog_bong,Bông,Corgi,MEDIUM,18,12,FEMALE,PARTIALLY_VACCINATED,https://placehold.co/800x600/png?text=PawConnect+Bong,Chó cỡ vừa năng động phù hợp gia đình có sân nhỏ.,BR_HN_01
dog_gen_corgi,Mika,Corgi,MEDIUM,62,10.9,MALE,FULLY_VACCINATED,https://placehold.co/800x600/png?text=PawConnect+Mika+7,Ho so demo cho Corgi phuc vu luong nhan nuoi PawConnect.,BR_HCM_01
dog_gen_shiba_inu,Toto,Shiba Inu,MEDIUM,80,9.6,MALE,PARTIALLY_VACCINATED,https://placehold.co/800x600/png?text=PawConnect+Toto+9,Ho so demo cho Shiba Inu phuc vu luong nhan nuoi PawConnect.,BR_DN_01
dog_gen_shiba_inu_2,Nana,Shiba Inu,MEDIUM,22,10.9,FEMALE,FULLY_VACCINATED,https://placehold.co/800x600/png?text=PawConnect+Nana+10,Ho so demo cho Shiba Inu phuc vu luong nhan nuoi PawConnect.,BR_HCM_01
dog_gen_beagle,Rin,Beagle,MEDIUM,31,14,MALE,NOT_VACCINATED,https://placehold.co/800x600/png?text=PawConnect+Rin+11,Ho so demo cho Beagle phuc vu luong nhan nuoi PawConnect.,BR_HN_01
dog_gen_beagle_2,Bun,Beagle,MEDIUM,138,10,FEMALE,PARTIALLY_VACCINATED,https://placehold.co/800x600/png?text=PawConnect+Bun+12,Ho so demo cho Beagle phuc vu luong nhan nuoi PawConnect.,BR_DN_01
dog_mun,Mun,Chó Phú Quốc,MEDIUM,20,16,FEMALE,NOT_VACCINATED,https://placehold.co/800x600/png?text=PawConnect+Mun,Chó nhanh nhẹn cần người nhận nuôi có thời gian chăm sóc.,BR_HCM_01
dog_gen_phu_quoc,Mochi,Chó Phú Quốc,MEDIUM,140,14.1,MALE,FULLY_VACCINATED,https://placehold.co/800x600/png?text=PawConnect+Mochi+13,Ho so demo cho Chó Phú Quốc phuc vu luong nhan nuoi PawConnect.,BR_HCM_01
dog_kiki,Kiki,French Bulldog,SMALL,16,10,FEMALE,PARTIALLY_VACCINATED,https://placehold.co/800x600/png?text=PawConnect+Kiki,Chó nhỏ thân thiện phù hợp không gian sống vừa phải.,BR_HN_01
dog_gen_french_bulldog,Nori,French Bulldog,SMALL,60,13,MALE,PARTIALLY_VACCINATED,https://placehold.co/800x600/png?text=PawConnect+Nori+15,Ho so demo cho French Bulldog phuc vu luong nhan nuoi PawConnect.,BR_DN_01
dog_gen_husky_siberian,Susu,Husky Siberian,LARGE,64,18.6,MALE,NOT_VACCINATED,https://placehold.co/800x600/png?text=PawConnect+Susu+17,Ho so demo cho Husky Siberian phuc vu luong nhan nuoi PawConnect.,BR_HN_01
dog_gen_husky_siberian_2,Ken,Husky Siberian,LARGE,142,19.9,FEMALE,PARTIALLY_VACCINATED,https://placehold.co/800x600/png?text=PawConnect+Ken+18,Ho so demo cho Husky Siberian phuc vu luong nhan nuoi PawConnect.,BR_DN_01
dog_gen_alaskan_malamute,Mika,Alaskan Malamute,LARGE,133,37.8,MALE,FULLY_VACCINATED,https://placehold.co/800x600/png?text=PawConnect+Mika+19,Ho so demo cho Alaskan Malamute phuc vu luong nhan nuoi PawConnect.,BR_HCM_01
dog_gen_alaskan_malamute_2,Bo,Alaskan Malamute,LARGE,61,40.4,FEMALE,NOT_VACCINATED,https://placehold.co/800x600/png?text=PawConnect+Bo+20,Ho so demo cho Alaskan Malamute phuc vu luong nhan nuoi PawConnect.,BR_HN_01
dog_lucky,Lucky,Golden Retriever,LARGE,30,29,MALE,FULLY_VACCINATED,https://placehold.co/800x600/png?text=PawConnect+Lucky,Chó lớn thân thiện và dễ làm quen với người mới.,BR_DN_01
dog_gen_golden_retriever,Toto,Golden Retriever,LARGE,61,28.1,MALE,PARTIALLY_VACCINATED,https://placehold.co/800x600/png?text=PawConnect+Toto+21,Ho so demo cho Golden Retriever phuc vu luong nhan nuoi PawConnect.,BR_DN_01
dog_gen_labrador_retriever,Rin,Labrador Retriever,LARGE,136,27.5,MALE,NOT_VACCINATED,https://placehold.co/800x600/png?text=PawConnect+Rin+23,Ho so demo cho Labrador Retriever phuc vu luong nhan nuoi PawConnect.,BR_HN_01
